,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet
0,2021-02-03 02:21:08+00:00,Benjamin Torres Vargas,,118,0,0,[],@PCaterianoB @KeikoFujimori @BankadaFP Te pregunto y el satélite que compraste  ??? Tremendo delincuente corrupto cómplice del otro delincuente Humala  !!!
1,2021-02-03 02:20:09+00:00,Leo Trebejo  Pardo,"Lima, Peru",47,0,0,[],Pésimo es decir que nunca recibiste plata por debajo de la mesa y que después te encuentren toda la plata hasta en el water como @KeikoFujimori !!! https://t.co/wpDaIvHnZM
2,2021-02-03 02:16:37+00:00,Betoquike,,486,0,0,[],"@LaSalitadelSin @Cristinfs3 @KeikoFujimori @BankadaFP @PedroChavarryV Mano blanda con sus corruptos funcionales, esa es: Keiko y su banda"
3,2021-02-03 02:15:09+00:00,pamela jaramillo vil,,13,0,0,[],@KeikoFujimori Dijiste que para el 2021 ningun fujimori postulará a ningún cargo público.....que paso tuviste amnesia
4,2021-02-03 02:11:21+00:00,cecilia,"Santiago de Surco, Peru",105,0,0,[],@chrisbustc @KeikoFujimori @danielfolivares @AlbertoBelaunde @rmapalacios @GeneralDelAire1 @gerardolipe @aspauzarazuri @hurgamemoriaPE @UrsulaMoscoso @suselparedes @partidomorado Un hombre que se droga hace 20 años y lo manifiesta públicamente y es un congresista pagado por mis impuestos deberían votarlo desaforarlo para eso le pagamos para eso me descuentan de mi sueldo para pagar a estos tipejos adictos y locas
5,2021-02-03 02:11:18+00:00,esesce 21,Arequipa Peru,1,0,0,[],@canalN_ Ptm juro q votaría x ti @KeikoFujimori si me comprobarás de que vives si no trabajas!! Osea es imposible q vote x ti pq vives de dinero mal habido de tu padre ...
6,2021-02-03 02:11:15+00:00,Eduardo Vega Kleiman,,15,0,0,[],"@RichardArcePeru @KeikoFujimori En vez de estar fijando en F
 P. Salvó al país
 Mal agradecido. Mírate al espejo. Mira como muere la gente ahora por la ineptitud. Del gobietno"
7,2021-02-03 02:09:06+00:00,Beto Lecca,Peru,86,0,0,"['AproFujiMontesinista', 'ManoDura', 'señoraK']","La organización criminal #AproFujiMontesinista fueron los que blindaron siempre a @PedroChavarryV con la #ManoDura  de @KeikoFujimori la #señoraK, la pelona no ha cambiado sigue siendo la misma.
@congresoperu @FiscaliaPeru @IDL_R @PCaterianoB https://t.co/ZqTfuajp4c"
8,2021-02-03 02:08:46+00:00,Kelvin Vilchez,,3,0,0,[],@chrisbustc @KeikoFujimori @danielfolivares @AlbertoBelaunde @rmapalacios @GeneralDelAire1 @gerardolipe @aspauzarazuri @hurgamemoriaPE @UrsulaMoscoso @suselparedes @partidomorado https://t.co/f9EJxveBSm
9,2021-02-03 02:06:33+00:00,Victor Manuel Torres Arenas,,20,0,0,[],@KeikoFujimori Okokok
10,2021-02-03 02:03:46+00:00,Mercedes,,4283,0,1,[],@Cluzcar @KeikoFujimori Puro cuento barato.
11,2021-02-03 02:01:55+00:00,Armanyu,peru,52,0,0,[],@chrisbustc @KeikoFujimori @danielfolivares @AlbertoBelaunde @rmapalacios @GeneralDelAire1 @gerardolipe @aspauzarazuri @hurgamemoriaPE @UrsulaMoscoso @suselparedes @partidomorado 👇🏻 https://t.co/lWUggWV3Xb
12,2021-02-03 01:49:23+00:00,José guerra,,126,0,0,[],@chrisbustc @KeikoFujimori @danielfolivares @AlbertoBelaunde @rmapalacios @GeneralDelAire1 @gerardolipe @aspauzarazuri @hurgamemoriaPE @UrsulaMoscoso @suselparedes @partidomorado 🤔🤔🤔🤔???
13,2021-02-03 01:49:18+00:00,SilviaVH🌷,"Lima, Peru",84,0,1,[],@chrisbustc @KeikoFujimori @danielfolivares @AlbertoBelaunde @rmapalacios @GeneralDelAire1 @gerardolipe @aspauzarazuri @hurgamemoriaPE @UrsulaMoscoso @suselparedes @partidomorado Excelente tuit.
14,2021-02-03 01:46:10+00:00,cris,,1,0,1,[],@Roxio46597430 @pattper99 @combatiente1960 @MartinVizcarraC @KeikoFujimori @ONPE @FiscaliaPeru Estás bien de la cabeza? Keiko no tiene NADA que ver acá. Vizcarra ha dado MILLONES de soles a medios de comunicación para que lo favorezcan. Tiene incontables casos de corrupción. Vizcarra nos MINTIÓ diciendo que los acuerdos de las vacunas ya estaban en camino.
15,2021-02-03 01:44:16+00:00,Bella,,745,0,0,[],@KeikoFujimori https://t.co/xVEi99igk3
16,2021-02-03 01:36:06+00:00,Libertad Bellano,Peru,659,1,2,['CongresoVerguenzaNacional'],@chrisbustc @KeikoFujimori @danielfolivares @AlbertoBelaunde @rmapalacios @GeneralDelAire1 @gerardolipe @aspauzarazuri @hurgamemoriaPE @UrsulaMoscoso @suselparedes @partidomorado #CongresoVerguenzaNacional
17,2021-02-03 01:36:05+00:00,Adolfo Galvez V.,Peru,64,0,0,[],@fernandomunioz7 @jorgecasmen @KeikoFujimori @albertofujimori Casi el 50 % en 2016 lo hizo. No exageres.
18,2021-02-03 01:35:15+00:00,Adolfo Galvez V.,Peru,64,0,0,[],"@fernandomunioz7 @jorgecasmen @KeikoFujimori @albertofujimori Estimado tu posición de que TODOS los que apoyan a los fujimoristas, son delincuentes, es exagerada. No generalices."
19,2021-02-03 01:33:41+00:00,Richard,,26,0,1,[],@chrisbustc @KeikoFujimori @danielfolivares @AlbertoBelaunde @rmapalacios @GeneralDelAire1 @gerardolipe @aspauzarazuri @hurgamemoriaPE @UrsulaMoscoso @suselparedes @partidomorado Estos descerebrados ya cansan con su: isti cingrisi ni mi riprisinti. Las ratasas son sus ídolos rojos vizcarrata y sagastirata.
20,2021-02-03 01:32:35+00:00,Piero Morote,"Lima, Peru",53,0,0,[],"Q se puede esperar de un partido lleno de gente con procesos penales! Incluyendo su lidereza... ya perdieron toda vergüenza!
Sepultemos electoralmente a Fuerza Popular y a @KeikoFujimori de una buena vez! https://t.co/AWtVKQYLbU"
21,2021-02-03 01:32:07+00:00,Emma Sánchez,"Lima, Perú",180,1,1,[],@chrisbustc @KeikoFujimori @danielfolivares @AlbertoBelaunde @rmapalacios @GeneralDelAire1 @gerardolipe @aspauzarazuri @hurgamemoriaPE @UrsulaMoscoso @suselparedes @partidomorado https://t.co/uVaYli2DdF
22,2021-02-03 01:32:07+00:00,En mi humilde opinión ☝️,Lima,62,0,0,[],"@Cluzcar @KeikoFujimori Keiko (como suele hacer en estos casos) ... dirá que sus congresistas son libres de opinar, votar y hacer ... q no son orquestados por ella."
23,2021-02-03 01:31:28+00:00,victor prada cotrina,,201,0,0,[],@pattyromero11 @KeikoFujimori Luz para mis ojos!!😍😍
24,2021-02-03 01:30:39+00:00,Fabio Ramos,"Magdalena del Mar, Peru",52,0,0,[],"@JuanMorenoMotta @AniPicanto @MavilaHuertasC @KeikoFujimori @SuneduPeru Vi el video y mientes nuevamente. Él dijo q quiere hacer casas de refugio para mujeres y niñas violadas, con atención sicológica, médica, legal; es decir, atención integral.
¿De donde sacas falta de empatía?
Entiendo q defiendes a Vizcarra, pero me asombra q mientas como él."
