,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet
0,2021-02-05 23:26:09+00:00,luis,,27,0,0,[],"@DeCentroRadica1 @menoscanas @Vero_Mendoza_F @sigridbazan Jajajaja en serio? De verdad crees eso? Vamos, puedes hacer algo mejor q eso. Programas manejados acuérdate q mexico también estuvo bajo gobierno de izquierda y corrupto, coludidos con el narco de Venezuela. Ya pues... Digas lo q digas son caviares, comunistas y sociamistas"
1,2021-02-05 23:24:37+00:00,CARLOS ELIAS,Peru,89,0,0,[],"@mili_Brujita @sigridbazan 
LA DIRECTORA DE @peru21noticias LA SRA. @cevalenzuelav  DESTRUYE A @Vero_Mendoza_F 
SOBRE LAS MENTIRAS DE LAS AGENDA DENADINE.
https://t.co/bnAM6G5m2v"
2,2021-02-05 23:24:00+00:00,Antonio Morgenstern,,35,0,0,[],"@E_FLEISCHMAN @HDeSotoPeru @jdealthaus @rlopezaliaga1 @jctafur @pavese @Vero_Mendoza_F mientras haya más  cuarentena habrá menos votos para Mendoza, menos votos para Guzman, menos votos para todos los rojos. La gente quiere trabajar, no quiere que le regalen nada https://t.co/erp4q7xrlv"
3,2021-02-05 23:22:29+00:00,Lufu Chofo (Tu terna con sabor a selva),"Lima, Peru",986,0,0,[],@abelgilvonio @Vero_Mendoza_F Hay productos que solo se produce a alto costo en el Perú. Sale más barato importarlas. Se van a encarecer muchas cosas.
4,2021-02-05 23:20:21+00:00,Milton Alvarez,"Lima, Perú",225,0,0,[],"@GrocioHerrada @Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Por favor lea, de BCG. https://t.co/yMDEdLK21g Y vuelva a mirar el video. No repita lo que los defensores del status quo dicen."
5,2021-02-05 23:18:37+00:00,John Pretel,"Lima, Peru",80,0,0,[],@MIGUELAPF3 @GrocioHerrada @Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Si tu quieres creer eso eres completamente libre.
6,2021-02-05 23:18:19+00:00,manuel balta,"Lima, Peru",132,0,0,[],@Clara_AQP2021 @DLigarda @Vero_Mendoza_F @chabelita2020 @DrCarlosGlave @JuntosporPeru @sergiotej @sigridbazan @GahelaJP13 @peruvianito @LaVeroArmy1 @mochagarcian Y por que la dicotomia pueblo-empresa? Por que no los dos? Por que uno es malo el otro es bueno?
7,2021-02-05 23:15:20+00:00,Alí - H,"Lima, Perú",218,0,0,"['Cuba', 'VeroNIKA']","@JuntosporPeru @Vero_Mendoza_F PERUANO que no te engañen. Los que te dicen palabras bonitas, esconden el desprecio claro a tu propiedad, a tus derechos. El comunismo progresista trae pobreza y destruye el futuro tuyo y de tu familia. Recordemos q hizo su IDEOLOGIA en países prósperos #Cuba #VeroNIKA... https://t.co/e6U7ZuYaVj"
8,2021-02-05 23:14:19+00:00,De Centro Radical,,2,0,0,[],"@lagb80 @menoscanas @Vero_Mendoza_F @sigridbazan Quieres informarte? Dale empieza por aquí
https://t.co/juV0ua794B"
9,2021-02-05 23:14:14+00:00,Jonathan Eli,,7,0,0,[],@Vero_Mendoza_F Ya vas a caer agendas de ratine!
10,2021-02-05 23:09:40+00:00,Ivan Mendez,,267,0,0,[],@Juesfe @alfreserramanci @Kicillofok @PabloIglesias @maximilianoreyz @petrogustavo @MariaNelaPradaT @GuilhermeBoulos @danieljadue @OrsiYamandu @Vero_Mendoza_F @ecuarauz Parece el diablo ese man
11,2021-02-05 23:08:56+00:00,Diego Remicio,,5,0,0,[],"@JoseLuis_DipazT @AnahiDurandG @Vero_Mendoza_F Pensionistas que pueden disponer de su dinero mediante su afp, no el contribuyente que en la mayoría de casos no subirá a un avión en su vida. Son cosas muy diferentes, no trate de mezclar sr zurdete"
12,2021-02-05 23:07:13+00:00,Milton Alvarez,"Lima, Perú",225,0,0,[],@GrocioHerrada @Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Mira los números de Correa ... mira sus obras. Habla con evidencias. Mira datos del Boston Consulting Group y mejor inversión del petroleo para reducir pobreza. Números. No adjetivos.
13,2021-02-05 23:00:36+00:00,@VICTOR,PERU,50,0,0,[],"@Pajuelo_Gladys @pedrofrancke @FSagasti @presidenciaperu @MidisPeru @rumicef @larepublica_pe @juanalvarezm @chapatucombi @arturoayala_3 @JuntosporPeru @Vero_Mendoza_F Los Bonos deben ser universales, por número de DNI; algunos no cobrarán por tener sustento económico, ese fondo debería ser adicional a lo que se les debe entregar a las ollas comunes populares."
14,2021-02-05 22:58:50+00:00,Grocio Herrada Vigo,"San isidro, Peru",1934,0,0,[],"@milaldia @Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Chávez, Maduro, Castro, Evo, Correa, Ortega han condenado a sus pueblos a ser IGUALES pero en POBREZA. Son anti natura."
15,2021-02-05 22:56:14+00:00,Lola,🌎,208,0,0,[],"@JuntosporPeru @Vero_Mendoza_F En eso si estamos de acuerdo, como.También PROHIBIR el ingreso de semillas TRANSgenicas, productos Venenosos de monsanto, tenemos productos maravillosos Q DEBEN SER PROTEGI2 de influencia de las corporaciones.. Como harán para defender a los agricultores y al agro peruano?"
16,2021-02-05 22:54:32+00:00,Tony Random,,93,0,0,[],"@leonelaortega18 @aleorregogp @EncuestasP_2021 @Vero_Mendoza_F @rlopezaliaga1 @JovenesHDS @JovenesMorados_ @dsalaverryv @rafaelsantosn @yonhy_lescano @BeingoleaA Dice el 2020 que le devuelvas su ""noticia""... https://t.co/xZngOs5nW6"
17,2021-02-05 22:52:33+00:00,Hernan Benigno Salas,,115,0,0,[],"@MIGUELAPF3 @CesarRevolledo @Vero_Mendoza_F Se ve que no eres docente, no tienes ni la más mínima idea de lo que es ser docente. Sabes que los docentes trabajamos más de 14 horas al día y ganamos menos que cualquier profesional??? Y encima nos dicen que tenemos trabajar en situaciones adversas porque es ""nuestra vocación"""
18,2021-02-05 22:50:34+00:00,Wolfper,,30,0,0,['Arequipa'],"Lo reto @FSagasti la delincuencia por parte de los Venezolanos está en incremento aquí en #Arequipa y el Peru necesitamos que EXPULSE a los indocumentados ya y declare a @NicolasMaduro enemigo de la región
@canalN_ @RPPNoticias @willaxtv @PBOPeru
@Vero_Mendoza_F enemiga del Peru"
